,title,artist,year,sample,genre,style
147,Doctorin' the House,Coldcut feat. Yazz and The Plastic Population,1988,https://www.whosampled.com/Mountain/Long-Red/,Rock / Pop,Vocals / Lyrics
148,Here We Go Again,J Dilla,2014,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Vocals / Lyrics
149,? Vs. Rahzel,The Roots,1995,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Vocals / Lyrics
150,Monster,KB feat. Aha Gazelle,2017,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Vocals / Lyrics
151,Fingertips,J Dilla,1996,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Drums
152,Cadillac,Marteria,2017,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Vocals / Lyrics
153,"Justa ""Lil"" Dope",Masters at Work,1991,https://www.whosampled.com/Mountain/Long-Red/,Electronic / Dance,Vocals / Lyrics
154,Don't Understand,Kendrick Lamar,2011,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Vocals / Lyrics
155,CAT GIRLS ARE RUINING MY LIFE!,CORPSE,2020,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Drums
156,This Is Compton,Compton's Most Wanted,1990,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Vocals / Lyrics
157,"The Heist, Pt. 1",The Lox,1998,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Multiple Elements
158,You & I,Riky Rick feat. Mlindo the Vocalist,2019,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Vocals / Lyrics
159,Episode XIX,Madlib,2010,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Vocals / Lyrics
160,What Up King,Yaves feat. Young Joshua,2013,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Multiple Elements
161,Get Right,B.o.B feat. Mike Fresh,2014,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Vocals / Lyrics
162,I Got 5 on It (Aphrodite's Original Dub Plate),Luniz,1998,https://www.whosampled.com/Mountain/Long-Red/,Electronic / Dance,Vocals / Lyrics
163,Dana Dane Is Coming to Town,Dana Dane,1987,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Drums
164,A Day in Your Life,Charizma and Peanut Butter Wolf,2009,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Drums
165,Walk Like a Duck,Kurious,1992,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Multiple Elements
166,Pay Jay,"Termanology feat. Rapper Big Pooh, Chaundon and Joe Scudda",2009,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Vocals / Lyrics
167,And We,"P. Diddy, Black Rob, Foxy Brown and Craig Mack feat. G. Dep, Kain and Big Azz Ko",2002,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Vocals / Lyrics
168,Talm' Bout,Chris Brown,2022,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Vocals / Lyrics
169,World Domination,Grav,1996,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Vocals / Lyrics
